OWNERID,QUEUEID,QUEUETYPE,NAME,DESCRIPTION,CREATEDON,CREATEDBY,LASTMODIFIEDON,LASTMODIFIEDBY,DEFAULTOWNERID,STARTTIME,ENDTIME,ISACTIVE,EXECUTIONORDER,BUSINESSUNITID,ASSIGNMENTONLYLOGGEDINUSER,UNIQUEID,LASTMODIFIEDBYTYPE,STARTMIN,ENDMIN,QUEUECRITERIA,IPADDRESS
721,5340,2,NBFC Admin queue,,17-DEC-18,1,26-MAR-19,5477,77,,,1,7,-1,0,07D31AF3-96CD-4C5C-8D7F-6C6D6F9D6F9D,0,0,0,0<expr...,10.21.1.6
721,5350,2,Sent to Contact Person,,02-JAN-19,1,04-JAN-19,1,77,,,0,15,-1,0,07E76FA9-E7F2-4BC2-91CA-73E8A571439F,0,0,0,0<expr...,10.21.1.6
721,5358,2,Centralized Officers,,04-JAN-19,1,04-JAN-19,1,1,,,1,23,-1,0,07E9DB3E-AC47-497B-8BA4-547F158F2837,-1,0,0,0<expr...,10.21.1.6
721,5359,2,Draft Complaint Dealing Official queue,,04-JAN-19,1,04-JAN-19,1,1,,,1,24,-1,0,07EA201D-20F8-4A1C-8A5B-DE162C92E8FF,-1,0,0,0<expr...,114.143.24.24
721,5333,2,BO Dealing Official queue,,23-NOV-18,1,24-MAY-19,5477,77,,,1,0,-1,0,07B520F8-E3A3-41A8-A635-77B23B1796EB,0,0,0,0<expr...,114.143.24.24
721,5336,2,Banking Ombudsman queue,,23-NOV-18,1,26-MAR-19,5477,77,,,1,3,-1,0,07B520F9-C102-4A73-A504-CF903B5DAE6F,0,0,0,0<expr...,::1
721,5339,2,CEPC Admin,,14-DEC-18,1,26-MAR-19,5477,77,,,1,6,-1,0,07CF576E-8AEF-4A9B-B857-4E4EC572DA42,0,0,0,0<expr...,10.21.1.6
721,5341,2,NBFC Reviewer Queue,,17-DEC-18,1,26-MAR-19,5477,77,,,1,8,-1,0,07D321C0-BD38-4F7F-9C80-5C20FE6D36C9,0,0,0,0<expr...,10.21.1.6
721,5343,2,NBFC Secretary to NBFC Queue,,17-DEC-18,1,01-APR-19,5477,77,,,0,10,-1,0,07D327B9-9CD1-4A59-BF28-DEFA5E66AA91,0,0,0,0<expr...,10.21.1.6
721,5344,2,NBFC Queue,,17-DEC-18,1,26-MAR-19,5477,77,,,1,11,-1,0,07D32CA1-8DE3-4B9F-84EF-9FFC3A7A5D8A,0,0,0,0<expr...,10.21.1.6
721,5349,2,Sent to Operational In charge,,02-JAN-19,1,26-MAR-19,5477,77,,,1,14,-1,0,07E76E1A-A6DF-4E7B-A480-1E1C5A81467F,0,0,0,0<expr...,10.21.1.6
721,5351,2,Sent to CEPC In charge,,02-JAN-19,1,26-MAR-19,5477,77,,,0,16,-1,0,07E77002-3D2F-46C5-ABF4-EF0F5812B4A1,0,0,0,0<expr...,10.21.1.6
721,5353,2,Sent back to CEPC Operational In charge /Sent to Closing Authority,,02-JAN-19,1,26-MAR-19,5477,77,,,0,18,-1,0,07E77009-AC6B-481A-BD69-3E9E2C6A4F9E,0,0,0,0<expr...,10.21.1.6
721,5363,2,CEPC_DOUser,,23-JAN-19,1,24-MAY-19,5477,77,,,1,28,-1,0,080194E1-645F-4E90-955B-F124F6C158D7,0,0,0,0<expr...,10.21.1.6
721,5338,2,Inward Officials BO Queue,,07-DEC-18,1,23-OCT-19,5477,77,,,1,5,-1,0,07C6A6BC-EFD9-4BC9-9A0E-B8E55B3FA7E2,0,0,0,0<expr...,10.21.1.6
721,5347,2,AA DO,,31-DEC-18,1,31-DEC-18,1,1,,,1,13,-1,0,07E4EAC0-67AF-451C-BD7C-7A1E179FBD6F,-1,0,0,0<expr...,172.16.24.5
721,5354,2,Sent back to CEPC In charge/Mark For Closure,,02-JAN-19,1,26-MAR-19,5477,77,,,0,19,-1,0,07E77119-9CD1-4BC9-BD89-DE0F5C2F6E1C,0,0,0,0<expr...,114.143.24.24
721,5360,2,Common Role,,10-JAN-19,1,26-MAR-19,5477,77,,,1,25,-1,0,07F157B8-BD38-4C8D-A8B9-0C3B5E6D3B6F,0,0,0,0<expr...,10.21.1.6
