OWNERID,QUEUEID,QUEUETYPE,MEMBERID,LASTMODIFIEDBYTYPE,ADDEDBY,SHOWQUEUEMEMBERS,IPADDRESS
721,5349,2,5918,-1,11728,0,
721,5379,2,12674,-1,11551,0,
721,5333,2,14123,-1,13023,0,
721,5359,2,14100,-1,5650,0,
721,5349,2,11099,-1,5475,0,
721,5383,2,5635,-1,11479,0,
721,5369,2,6011,-1,5635,0,
721,5383,2,5628,-1,11479,0,
721,5369,2,7127,-1,5477,0,
721,5347,2,15750,-1,5475,0,
721,5359,2,5814,-1,5826,0,
721,5350,2,5400,0,1,0,
721,5352,2,5393,0,1,0,
721,5353,2,5393,0,1,0,
721,5369,2,10313,0,5635,0,
721,5352,2,13751,0,5477,0,
721,5347,2,10168,0,5826,0,
721,5371,2,14044,0,5635,1,
721,5343,2,6654,0,5475,0,
721,5341,2,5434,-1,11728,0,
721,5348,8,7045,0,5650,0,
721,5368,2,6824,-1,5650,0,
721,5381,2,14891,-1,11479,0,
721,5355,2,15476,0,5650,0,
721,5361,2,5488,0,5650,0,
721,5344,2,13785,-1,5650,1,
721,5370,3,15476,0,13023,0,
721,5366,2,11224,-1,1,0,
721,5369,2,14674,-1,13023,0,
721,5383,2,12428,-1,5477,0,
721,5368,2,8257,0,5650,0,
721,5335,2,14654,-1,11479,0,
721,5382,2,9010,0,13023,0,
721,5345,2,8582,-1,5635,0,
721,5350,2,15980,-1,5826,0,
721,5333,2,8598,-1,5635,0,
721,5358,2,10635,-1,5650,0,
721,5382,2,9741,-1,5650,0,
721,5369,2,10820,0,5635,0,
721,5365,2,11873,-1,5475,0,
721,5342,2,15133,0,13023,0,
721,5359,2,11216,-1,1,0,
721,5337,2,5488,-1,5635,0,
721,5345,2,13279,0,5477,0,
721,5347,2,6424,0,5650,0,
721,5381,2,15415,-1,5475,0,
721,5347,2,8257,0,13023,0,
721,5352,2,6679,-1,11728,0,
721,5348,8,9552,0,11479,0,
721,5376,2,7664,0,5477,0,
721,5363,2,6679,-1,11551,0,
721,5371,2,8733,-1,1,1,
721,5336,2,13928,-1,5826,0,
721,5347,2,14044,-1,5826,0,
721,5373,2,8657,-1,11728,0,
721,5369,2,11227,0,11479,0,
721,5387,2,6584,-1,11479,0,
721,5382,2,13751,0,13023,0,
721,5383,2,6424,-1,13023,0,
721,5369,2,5520,-1,5650,0,
721,5354,2,8811,0,5475,0,
721,5366,2,10514,-1,13023,0,
721,5387,2,6519,-1,5650,0,
721,5382,2,5488,-1,11479,0,
721,5339,2,10168,-1,11479,0,
721,5363,2,10313,0,5635,0,
721,5354,2,8814,0,11479,0,
721,5359,2,11912,0,11479,0,
721,5337,2,6084,-1,11479,0,
721,5345,2,10977,0,5650,0,
721,5333,2,15485,-1,5650,0,
721,5366,2,8432,-1,11728,0,
721,5364,2,12527,-1,11551,0,
721,5347,2,12573,-1,11551,0,
721,5365,2,14980,-1,5635,0,
721,5351,2,9803,-1,5477,0,
721,5337,2,9803,-1,11479,0,
721,5377,2,5488,0,1,0,
721,5338,2,8611,0,11551,0,
721,5338,2,9557,-1,5635,0,
721,5360,2,13935,0,11551,0,
721,5352,2,11216,0,1,0,
721,5354,2,15647,0,1,0,
721,5335,2,9333,0,11728,0,
721,5361,2,6535,0,5826,0,
721,5358,2,8598,0,1,0,
721,5367,2,9422,-1,11551,0,
721,5382,2,10635,0,5475,0,
721,5364,2,8814,0,11728,0,
721,5377,2,6674,-1,5635,0,
721,5348,8,11216,-1,5826,0,
721,5352,2,10977,-1,11479,0,
721,5335,2,8432,0,13023,0,
721,5384,2,14654,0,5477,0,
721,5362,2,6654,0,5475,0,
721,5383,2,7615,0,5635,0,
721,5344,2,9506,-1,5635,1,
721,5379,2,6084,-1,13023,0,
721,5380,2,10820,-1,11728,0,
721,5347,2,14863,-1,5475,0,
721,5338,2,15647,0,1,0,
721,5341,2,6139,-1,13023,0,
721,5368,2,9374,0,13023,0,
721,5376,2,8814,0,5650,0,
721,5349,2,10168,0,13023,0,
721,5347,2,7803,0,5650,0,
721,5347,2,8527,0,5475,0,
721,5347,2,7547,0,11551,0,
721,5336,2,13279,-1,5635,0,
721,5344,2,8598,-1,5475,0,
721,5337,2,15415,0,11728,0,
721,5365,2,11201,-1,5826,0,
721,5340,2,5711,0,11728,0,
721,5365,2,12428,-1,13023,0,
721,5335,2,9741,-1,11728,0,
721,5384,2,14044,-1,13023,0,
721,5379,2,12428,-1,11728,0,
721,5382,2,9506,-1,11728,0,
721,5355,2,13928,-1,11479,0,
721,5363,2,6139,0,11551,0,
721,5348,8,8527,0,11479,0,
721,5356,2,5409,-1,11551,0,
721,5333,2,8456,-1,1,0,
721,5353,2,5409,-1,5635,0,
721,5382,2,6535,-1,13023,0,
721,5366,2,8257,-1,5477,1,
721,5339,2,8432,-1,11479,0,
721,5348,8,6291,-1,5475,0,
721,5380,2,11924,-1,11479,0,
721,5373,2,8582,-1,11551,0,
721,5382,2,13785,-1,5650,0,
721,5340,2,15299,0,5475,0,
721,5366,2,7803,0,5477,0,
721,5376,2,11227,0,5826,0,
721,5367,2,8456,0,13023,0,
721,5376,2,15980,0,11551,0,
721,5336,2,8527,0,5635,0,
721,5369,2,6169,0,11551,0,
721,5334,2,13928,0,5635,0,
721,5354,2,14891,0,5826,0,
721,5360,2,7664,-1,5650,0,
721,5336,2,7615,0,13023,0,
721,5347,2,15485,0,13023,0,
721,5350,2,11912,0,5635,0,
721,5347,2,11224,0,13023,0,
721,5378,2,10977,0,11551,0,
721,5360,2,11224,0,5635,0,
721,5353,2,6584,-1,5650,1,
721,5377,2,13928,-1,5635,0,
721,5360,2,5916,0,5475,0,
