OWNERID,REGIONID,PARENTREGIONID,ISPARENT,NAME,DESCRIPTION,CREATEDBY,CREATEDON,LASTMODIFIEDBY,LASTMODIFIEDON,ZIPCODE,CATEGORYTYPE,CONTINENTID,CONTINENTNAME,ZONEID,ZONENAME,AREAID,AREANAME,CLUSTERID,CLUSTERNAME,BRANCHID,BRANCHNAME,LOCATIONID,LOCATIONNAME,PROCESSID,PROCESSVERSION,LAYOUTID
721,5347,0,1,Southern Zone,,1,20-DEC-18,1,29-JAN-19,,4,,,,,,,,,,,,,0,0,-1
721,5348,0,1,Eastern Zone,,1,20-DEC-18,1,29-JAN-19,,4,,,,,,,,,,,,,0,0,-1
721,5353,5362,0,BO Raipur,,1,20-DEC-18,5475,22-JUN-20,,3,,,,,,,,,,,,,0,0,-1
721,5352,5362,0,BO Bhopal,,1,20-DEC-18,5475,22-JUN-20,,3,,,,,,,,,,,,,0,0,-1
721,5358,5347,0,NBFC Chennai,,1,20-DEC-18,1,22-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5365,5362,0,CEPD Mumbai,,1,03-JAN-19,1,22-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5372,5362,0,CEPC Ahmedabad,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5375,5347,0,CEPC Bengaluru,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5377,5348,0,CEPC-Bhopal,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5385,5348,0,CEPC-Imphal,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5387,5349,0,CEPC-Jammu,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5389,5347,0,CEPC-Kochi,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5409,5349,0,BO Dehradun,,1,31-JAN-19,1,31-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5393,5362,0,CEPC-Nagpur,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5395,5362,0,CEPC-Panaji,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
